label,title,link
Positif,"Wamendukbangga: Distribusi MBG untuk Ibu Hamil, Menyusui, da",https://tribratanews.polri.go.id/blog/nasional-3/wamendukbangga-distribusi-mbg-untuk-ibu-hamil-menyusui-dan-balita-harus-ditingkatkan-100458
Negatif,Makan Gratis dan Pertaruhan Politik Anggaran | tempo.co,https://www.tempo.co/kolom/mbg-dan-pertaruhan-politik-anggaran-2126815
Netral,Pedagang Melon di Pasar Gede Solo Rasakan Peningkatan Ekonomi Sejak Ada MBG,https://www.liputan6.com/regional/read/6310544/pedagang-melon-di-pasar-gede-solo-rasakan-peningkatan-ekonomi-sejak-ada-mbg
Netral,"Melihat Praktik Kyushoku, Program MBG di Jepang yang Tak Cuma Makan Tapi Pembentukan Karakter Anak",https://wartaekonomi.co.id/read606799/melihat-praktik-kyushoku-program-mbg-di-jepang-yang-tak-cuma-makan-tapi-pembentukan-karakter-anak
Negatif,Anak Bukan Angka: Kritik Ibu atas Program Makan Bergizi Gratis...,https://bandungbergerak.id/article/detail/1546036303/anak-bukan-angka-kritik-ibu-atas-program-makan-bergizi-gratis
Negatif,"Anggaran Ketat! Makan Bergizi Gratis Dipangkas Jadi 5 Hari, Begini Nasib Sekolah dan Katering Lokal - Info Pendidikan BIC",https://infopendidikan.bic.id/pemangkasan-hari-makan-bergizi-gratis-2026/
Netral,Rutinitas Babinsa Koramil 03/TPL Dampingi Pelaksanaan Program Makan Bergizi Gratis di Wilayah Tempuling,https://medialokal.co/news/detail/64114/rutinitas-babinsa-koramil-03tpl-dampingi-pelaksanaan-program-makan-bergizi-gratis-di-wilayah-tempuling
Positif,Polri melalui Polres Mempawah meluncurkan program Makan Bergizi Gratis - Tribrata Kutai Timur,https://www.tribratakutim.com/berita-terkini/polri-melalui-polres-mempawah-meluncurkan-program-makan-bergizi-gratis/195580.html
Positif,CAMAT BULELENG HADIRI GRAND LAUNCHING PROGRAM MBG DI SMA N 2 SINGARAJA | Kecamatan Buleleng,https://buleleng.bulelengkab.go.id/informasi/detail/berita/92_camat-buleleng-hadiri-grand-launching-program-mbg-di-sma-n-2-singaraja
Negatif,"Sembilan SPPG Berau Kena Suspend, Ribuan Siswa Tak Terima Makan Bergizi Gratis Mulai Hari Ini - Berau Terkini",https://berauterkini.co.id/sembilan-sppg-berau-kena-suspend-ribuan-siswa-tak-terima-makan-bergizi-gratis-mulai-hari-ini/
Netral,"[HOAKS atau FAKTA]: Terima Masukan Rakyat, Prabowo Hentikan Program Makan Bergizi Gratis, Ganti dengan Bantuan Uang Tunai - MerahPutih",https://www.merahputih.com/post/read/hoaks-atau-fakta-terima-masukan-rakyat-prabowo-hentikan-program-makan-bergizi-gratis-ganti-dengan-bantuan-uang-tunai
Negatif,MBG: 2.721 SPPG sempat ditutup sementara - 'Sertifikasi jangan hanya formalitas administrasi saja' - BBC News Indonesia,https://www.bbc.com/indonesia/articles/c4g257y1pr9o
Positif,Kemenag Perkuat Program Makan Bergizi Gratis di Pesantren dan Madrasah – UIN Datokarama Palu,https://uindatokarama.ac.id/kemenag-perkuat-program-makan-bergizi-gratis-di-pesantren-dan-madrasah/
Negatif,"Siswa Jakarta Timur Keracunan Makan Bergizi Gratis, DPR Desak Penutupan Permanen SPPG - IniBalikpapan.Com",https://www.inibalikpapan.com/siswa-jakarta-timur-keracunan-makan-bergizi-gratis-dpr-desak-penutupan-permanen-sppg/
